"version","id","countryid","fieldid","value"
"2014-06-24","37","1","170","2,293,412 km<br /><i>top ten longest rivers: </i>Nile (Africa) 6,693 km; Amazon (South America) 6,436 km; Mississippi-Missouri (North America) 6,238 km; Yenisey-Angara (Asia) 5,981 km; Ob-Irtysh (Asia) 5,569 km; Yangtze (Asia) 5,525 km; Yellow (Asia) 4,671 km; Amur (Asia) 4,352 km; Lena (Asia) 4,345 km; Congo (Africa) 4,344 km<br /><i><b>note:</b> </i>rivers are not necessarily navigable along the entire length; if measured by volume, the Amazon is the largest river in the world<br /><i>top ten largest natural lakes (by surface area): </i>Caspian Sea (Azerbaijan, Iran, Kazakhstan, Russia, Turkmenistan) 372,960 sq km; Lake Superior (Canada, United States) 82,414 sq km; Lake Victoria (Kenya, Tanzania, Uganda) 69,490 sq km; Lake Huron (Canada, United States) 59,596 sq km; Lake Michigan (United States) 57,441 sq km; Lake Tanganyika (Burundi, Democratic Republic of the Congo, Tanzania, Zambia) 32,890 sq km; Great Bear Lake (Canada) 31,800 sq km; Lake Baikal (Russia) 31,494 sq km; Lake Nyasa (Malawi, Mozambique, Tanzania) 30,044 sq km; Great Slave Lake (Canada) 28,400 sq km<br /><i><b>note:</b> </i>the areas of the lakes are subject to seasonal variation; only the Caspian Sea is saline, the rest are fresh water (2013)"
"2014-06-24","38","1","101","3.308 billion (2013 est.)"
"2014-06-24","43","1","42","<i>total population: </i>68.35 years<br /><i>male: </i>66.39 years<br /><i>female: </i>70.43 years (2014 est.)"
"2014-06-24","49","1","29","7,174,611,584 (July 2014 est.)<br /><i>top ten most populous countries (in millions): </i>China 1355.69; India 1,236.34; United States 318.89; Indonesia 253.61; Brazil 202.66; Pakistan 196.17; Nigeria 177.16; Bangladesh 166.28; Russia 142.47; Japan 127.10"
"2014-06-24","51","1","168","<i>total: </i>657,382 km (2013)"
"2014-06-24","54","1","44","2.43 children born/woman (2014 est.)"
"2014-06-24","55","1","103","8.4% (2013 est.)<br />7.5% (2012 est.)<br /><i><b>note:</b> </i>30% combined unemployment and underemployment in many non-industrialized countries; developed countries typically 4%-12% unemployment (2007 est.)"
"2014-06-24","58","1","7","<i>total: </i>510.072 million sq km<br /><i>land: </i>148.94 million sq km<br /><i>water: </i>361.132 million sq km<br /><i><b>note:</b> </i>70.9% of the world's surface is water, 29.1% is land"
"2014-06-24","59","1","155","1.2 billion (2011)"
"2014-06-24","60","1","156","6 billion (2011)"
"2014-06-24","61","1","161","2.1 billion (2010)"
"2014-06-24","62","1","50","0.8% (2009 est.)"
"2014-06-24","63","1","51","35.3 million (2009 est.)"
"2014-06-24","64","1","52","1.6 million (2009 est.)"
"2014-06-24","65","1","106","38.5 (2008 est.)<br />37.3 (1999 est.)"
"2014-06-24","67","1","110","63.3% of GDP (2013 est.)<br />62.8% of GDP (2012 est.)"
"2014-06-24","71","1","128","$24.7 trillion (31 December 2013 est.)<br />$22.85 trillion (31 December 2012 est.)"
"2014-06-24","72","1","129","$25.2 trillion (31 December 2013 est.)<br />$23.64 trillion (31 December 2012 est.)"
"2014-06-24","73","1","118","$53.87 trillion (31 December 2012 est.)<br />$47.13 trillion (31 December 2011)<br />$54.61 trillion (31 December 2010 est.)"
"2014-06-24","77","1","117","$87.9 trillion (31 December 2013 est.)<br />$86.03 trillion (31 December 2012 est.)"
"2014-06-24","79","1","115","$27.49 trillion (31 December 2013 est.)<br />$26.67 trillion (31 December 2012 est.)"
"2014-06-24","80","1","116","$82.84 trillion (31 December 2013 est.)<br />$79.31 trillion (31 December 2012 est.)"
"2014-06-24","84","1","108","30.3% of GDP (2013 est.)"
"2014-06-24","85","1","109","-3.1% of GDP (2013 est.)"
"2014-06-24","87","1","132","22.03 trillion kWh (2011 est.)"
"2014-06-24","88","1","133","20.45 trillion kWh (2010 est.)"
"2014-06-24","89","1","134","673.6 billion kWh (2012 est.)"
"2014-06-24","90","1","135","692.6 billion kWh (2012 est.)"
"2014-06-24","91","1","136","5.359 billion kW (2010 est.)"
"2014-06-24","92","1","137","66.6% of total installed capacity (2010 est.)"
"2014-06-24","93","1","139","18.8% of total installed capacity (2010 est.)"
"2014-06-24","94","1","138","7.4% of total installed capacity (2010 est.)"
"2014-06-24","95","1","140","7.1% of total installed capacity (2010 est.)"
"2014-06-24","96","1","141","89.08 million bbl/day (2012 est.)"
"2014-06-24","97","1","142","44.06 million bbl/day (2010 est.)"
"2014-06-24","98","1","143","45.41 million bbl/day (2010 est.)"
"2014-06-24","99","1","144","1.63 trillion bbl (1 January 2013 est.)"
"2014-06-24","100","1","145","82.24 million bbl/day (2010 est.)"
"2014-06-24","101","1","146","87.31 million bbl/day (2011 est.)"
"2014-06-24","102","1","147","24.4 million bbl/day (2010 est.)"
"2014-06-24","103","1","148","23.75 million bbl/day (2010 est.)"
"2014-06-24","104","1","149","3.471 trillion cu m (2011 est.)"
"2014-06-24","105","1","150","3.235 trillion cu m (2010 est.)"
"2014-06-24","106","1","151","1.291 trillion cu m (2011 est.)"
"2014-06-24","107","1","152","1.624 trillion cu m (2011 est.)"
"2014-06-24","108","1","153","204.7 trillion cu m (1 January 2013 est.)"
"2014-06-24","112","2","91","$284.7 billion (2013 est.)<br />$276.2 billion (2012 est.)<br />$267.4 billion (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","113","2","33","1.88% (2014 est.)"
"2014-06-24","114","2","93","3.1% (2013 est.)<br />3.3% (2012 est.)<br />2.6% (2011 est.)"
"2014-06-24","115","2","94","$7,500 (2013 est.)<br />$7,400 (2012 est.)<br />$7,300 (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","133","2","179","4.48% of GDP (2012)<br />4.36% of GDP (2011)<br />4.48% of GDP (2010)"
"2014-06-24","141","2","163","157 (2013)"
"2014-06-24","142","2","34","23.99 births/1,000 population (2014 est.)"
"2014-06-24","151","2","35","4.31 deaths/1,000 population (2014 est.)"
"2014-06-24","156","2","120","$68.25 billion (2013 est.)<br />$71.74 billion (2012 est.)"
"2014-06-24","157","2","127","$5.278 billion (31 December 2013 est.)<br />$5.639 billion (31 December 2012 est.)"
"2014-06-24","160","2","169","<i>total: </i>113,655 km<br /><i>paved: </i>87,605 km (includes 645 km of expressways)<br /><i>unpaved: </i>26,050 km (2010)"
"2014-06-24","161","2","123","$55.02 billion (2013 est.)<br />$51.57 billion (2012 est.)"
"2014-06-24","163","2","100","2.5% (2013 est.)"
"2014-06-24","165","2","41","<i>total: </i>21.76 deaths/1,000 live births<br /><i>male: </i>23.54 deaths/1,000 live births<br /><i>female: </i>19.9 deaths/1,000 live births (2014 est.)"
"2014-06-24","166","2","112","3.9% (2013 est.)<br />8.9% (2012 est.)"
"2014-06-24","168","2","101","11.15 million (2013 est.)"
"2014-06-24","174","2","42","<i>total population: </i>76.39 years<br /><i>male: </i>75.12 years<br /><i>female: </i>77.72 years (2014 est.)"
"2014-06-24","179","2","171","<i>total: </i>38<br /><i>by type: </i>bulk carrier 6, cargo 8, chemical tanker 3, liquefied gas 11, passenger/cargo 3, petroleum tanker 4, roll on/roll off 3<br /><i>foreign-owned: </i>15 (UK, 15) (2010)"
"2014-06-24","183","2","36","-0.93 migrant(s)/1,000 population (2014 est.)"
"2014-06-24","189","2","29","38,813,722 (July 2014 est.)"
"2014-06-24","191","2","168","<i>total: </i>3,973 km<br /><i>standard gauge: </i>2,888 km 1.435-m gauge (283 km electrified)<br /><i>narrow gauge: </i>1,085 km 1.055-m gauge (2008)"
"2014-06-24","196","2","44","2.78 children born/woman (2014 est.)"
"2014-06-24","198","2","103","10.3% (2013 est.)<br />10.7% (2012 est.)"
"2014-06-24","203","2","7","<i>total: </i>2,381,741 sq km<br /><i>land: </i>2,381,741 sq km<br /><i>water: </i>0 sq km"
"2014-06-24","205","2","155","3.2 million (2012)"
"2014-06-24","206","2","156","37.692 million (2012)"
"2014-06-24","207","2","161","4.7 million (2009)"
"2014-06-24","208","2","159",".dz"
"2014-06-24","209","2","50","0.1%; note - no country specific models provided (2009 est.)"
"2014-06-24","210","2","51","18,000 (2009 est.)"
"2014-06-24","211","2","52","fewer than 1,000 (2009 est.)"
"2014-06-24","212","2","106","35.3 (1995)"
"2014-06-24","214","2","160","676 (2012)"
"2014-06-24","215","2","110","13.2% of GDP (2013 est.)<br />8.3% of GDP (2012 est.)<br /><i><b>note:</b> </i>data cover central government debt; the data include debt issued by subnational entities, as well as intra-governmental debt"
"2014-06-24","216","2","119","$6.697 billion (2013 est.)<br />$12.3 billion (2012 est.)"
"2014-06-24","217","2","126","$192.5 billion (31 December 2013 est.)<br />$191.6 billion (31 December 2012 est.)"
"2014-06-24","221","2","128","$25.02 billion (31 December 2013 est.)<br />$23.26 billion (31 December 2012 est.)"
"2014-06-24","222","2","129","$2.433 billion (31 December 2013 est.)<br />$2.133 billion (31 December 2012 est.)"
"2014-06-24","223","2","118","$NA"
"2014-06-24","227","2","56","4.3% of GDP (2008)"
"2014-06-24","228","2","113","4% (31 December 2010 est.)<br />4% (31 December 2009 est.)"
"2014-06-24","229","2","114","8% (31 December 2013 est.)<br />8% (31 December 2012 est.)"
"2014-06-24","230","2","117","$-4.337 billion (31 December 2013 est.)<br />$-4.363 billion (31 December 2012 est.)"
"2014-06-24","233","2","115","$92.91 billion (31 December 2013 est.)<br />$98.36 billion (31 December 2012 est.)"
"2014-06-24","234","2","116","$140.2 billion (31 December 2013 est.)<br />$141 billion (31 December 2012 est.)"
"2014-06-24","240","2","108","37.3% of GDP (2013 est.)"
"2014-06-24","241","2","109","-2.3% of GDP (2013 est.)"
"2014-06-24","242","2","40","97 deaths/100,000 live births (2010)"
"2014-06-24","243","2","55","3.7% (2005)"
"2014-06-24","244","2","45","3.9% of GDP (2011)"
"2014-06-24","247","2","54","16% (2008)"
"2014-06-24","248","2","60","<i>total: </i>28.4%<br /><i>male: </i>19.1%<br /><i>female: </i>38.2% (2011)"
"2014-06-24","250","2","132","46.25 billion kWh (2011 est.)"
"2014-06-24","251","2","133","33.68 billion kWh (2010 est.)"
"2014-06-24","252","2","134","803 million kWh (2010 est.)"
"2014-06-24","253","2","135","736 million kWh (2010 est.)"
"2014-06-24","254","2","136","11.33 million kW (2010 est.)"
"2014-06-24","255","2","137","97.5% of total installed capacity (2010 est.)"
"2014-06-24","256","2","139","2.5% of total installed capacity (2010 est.)"
"2014-06-24","257","2","138","0% of total installed capacity (2010 est.)"
"2014-06-24","258","2","140","0% of total installed capacity (2010 est.)"
"2014-06-24","259","2","141","1.875 million bbl/day (2012 est.)"
"2014-06-24","260","2","142","1.097 million bbl/day (2010 est.)"
"2014-06-24","261","2","143","6,400 bbl/day (2010 est.)"
"2014-06-24","262","2","144","12.2 billion bbl (1 January 2013 est.)"
"2014-06-24","263","2","145","571,400 bbl/day (2010 est.)"
"2014-06-24","264","2","146","316,400 bbl/day (2011 est.)"
"2014-06-24","265","2","147","471,900 bbl/day (2010 est.)"
"2014-06-24","266","2","148","17,270 bbl/day (2010 est.)"
"2014-06-24","267","2","149","82.76 billion cu m (2011 est.)"
"2014-06-24","268","2","150","28.82 billion cu m (2010 est.)"
"2014-06-24","269","2","151","52.02 billion cu m (2011 est.)"
"2014-06-24","270","2","152","0 cu m (2011 est.)"
"2014-06-24","271","2","153","4.504 trillion cu m (1 January 2013 est.)"
"2014-06-24","276","2","95","45.5% of GDP (2013 est.)<br />44.4% of GDP (2012 est.)<br />47.7% of GDP (2011 est.)"
"2014-06-24","278","3","91","$131.8 billion (2013 est.)<br />$124.8 billion (2012 est.)<br />$118.7 billion (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","279","3","33","2.78% (2014 est.)"
"2014-06-24","280","3","93","5.6% (2013 est.)<br />5.2% (2012 est.)<br />3.9% (2011 est.)"
"2014-06-24","281","3","94","$6,300 (2013 est.)<br />$6,200 (2012 est.)<br />$6,000 (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","299","3","179","3.63% of GDP (2012)<br />3.5% of GDP (2011)<br />3.63% of GDP (2010)"
"2014-06-24","307","3","163","176 (2013)"
"2014-06-24","308","3","34","38.97 births/1,000 population (2014 est.)"
"2014-06-24","317","3","35","11.67 deaths/1,000 population (2014 est.)"
"2014-06-24","322","3","120","$70.84 billion (2013 est.)<br />$71.09 billion (2012 est.)"
"2014-06-24","323","3","127","$22.71 billion (31 December 2013 est.)<br />$21.85 billion (31 December 2012 est.)"
"2014-06-24","326","3","169","<i>total: </i>51,429 km<br /><i>paved: </i>5,349 km<br /><i>unpaved: </i>46,080 km (2001)"
"2014-06-24","328","3","123","$26.09 billion (2013 est.)<br />$23.72 billion (2012 est.)"
"2014-06-24","330","3","100","5.5% (2013 est.)"
"2014-06-24","332","3","41","<i>total: </i>79.99 deaths/1,000 live births<br /><i>male: </i>83.74 deaths/1,000 live births<br /><i>female: </i>76.05 deaths/1,000 live births (2014 est.)"
"2014-06-24","333","3","112","8.9% (2013 est.)<br />10.3% (2012 est.)"
"2014-06-24","334","3","170","1,300 km (2011)"
"2014-06-24","336","3","101","9.018 million (2013 est.)"
"2014-06-24","342","3","42","<i>total population: </i>55.29 years<br /><i>male: </i>54.16 years<br /><i>female: </i>56.47 years (2014 est.)"
"2014-06-24","347","3","171","<i>total: </i>7<br /><i>by type: </i>cargo 1, chemical tanker 1, passenger/cargo 2, petroleum tanker 2, roll on/roll off 1<br /><i>foreign-owned: </i>1 (Spain 1)<br /><i>registered in other countries: </i>17 (Bahamas 6, Curacao 2, Cyprus 1, Liberia 1, Malta 7) (2010)"
"2014-06-24","351","3","36","0.47 migrant(s)/1,000 population (2014 est.)"
"2014-06-24","357","3","29","19,088,106 (July 2014 est.)"
"2014-06-24","359","3","168","<i>total: </i>2,764 km<br /><i>narrow gauge: </i>2,641 km 1.067-m gauge; 123 km 0.600-m gauge (2008)"
"2014-06-24","364","3","44","5.43 children born/woman (2014 est.)"
"2014-06-24","366","3","103","NA%"
"2014-06-24","371","3","7","<i>total: </i>1,246,700 sq km<br /><i>land: </i>1,246,700 sq km<br /><i>water: </i>0 sq km"
"2014-06-24","373","3","155","303,000 (2012)"
"2014-06-24","374","3","156","9.8 million (2012)"
"2014-06-24","375","3","161","606,700 (2009)"
"2014-06-24","376","3","159",".ao"
"2014-06-24","377","3","50","2.3% (2012 est.)"
"2014-06-24","378","3","51","248,800 (2012 est.)"
"2014-06-24","379","3","52","12,600 (2012 est.)"
"2014-06-24","381","3","160","20,703 (2012)"
"2014-06-24","382","3","110","14.7% of GDP (2013 est.)<br />17.2% of GDP (2012 est.)"
"2014-06-24","383","3","119","$10.69 billion (2013 est.)<br />$13.85 billion (2012 est.)"
"2014-06-24","384","3","126","$37.94 billion (31 December 2013 est.)<br />$33.41 billion (31 December 2012 est.)"
"2014-06-24","389","3","128","$17.15 billion (31 December 2012 est.)<br />$12.15 billion (31 December 2011 est.)"
"2014-06-24","390","3","129","$12.87 billion (31 December 2013 est.)<br />$9.877 billion (31 December 2012 est.)"
"2014-06-24","394","3","56","3.5% of GDP (2010)"
"2014-06-24","395","3","113","$NA (31 December 2010 est.)<br />30% (31 December 2009 est.)"
"2014-06-24","396","3","114","15% (31 December 2013 est.)<br />16.81% (31 December 2012 est.)"
"2014-06-24","397","3","117","NA% (31 December 2013 est.)<br />$20.45 billion (31 December 2012 est.)"
"2014-06-24","400","3","115","$16.95 billion (31 December 2013 est.)<br />$13.31 billion (31 December 2012 est.)"
"2014-06-24","401","3","116","$50.71 billion (31 December 2013 est.)<br />$40.34 billion (31 December 2012 est.)"
"2014-06-24","407","3","108","42.5% of GDP (2013 est.)"
"2014-06-24","408","3","109","3.4% of GDP (2013 est.)"
"2014-06-24","409","3","40","450 deaths/100,000 live births (2010)"
"2014-06-24","410","3","55","15.6% (2007)"
"2014-06-24","411","3","45","3.5% of GDP (2011)"
"2014-06-24","414","3","54","6.4% (2008)"
"2014-06-24","416","3","132","5.118 billion kWh (2010 est.)"
"2014-06-24","417","3","133","4.592 billion kWh (2010 est.)"
"2014-06-24","418","3","134","0 kWh (2012 est.)"
"2014-06-24","419","3","135","0 kWh (2012 est.)"
"2014-06-24","420","3","136","1.155 million kW (2010 est.)"
"2014-06-24","421","3","137","56.9% of total installed capacity (2010 est.)"
"2014-06-24","422","3","139","43.1% of total installed capacity (2010 est.)"
"2014-06-24","423","3","138","0% of total installed capacity (2010 est.)"
"2014-06-24","424","3","140","0% of total installed capacity (2010 est.)"
"2014-06-24","425","3","141","1.872 million bbl/day (2012 est.)"
"2014-06-24","426","3","142","1.928 million bbl/day (2010 est.)"
"2014-06-24","427","3","143","0 bbl/day (2010 est.)"
"2014-06-24","428","3","144","10.47 billion bbl (1 January 2013 est.)"
"2014-06-24","429","3","145","38,760 bbl/day (2010 est.)"
"2014-06-24","430","3","146","79,430 bbl/day (2011 est.)"
"2014-06-24","431","3","147","17,750 bbl/day (2010 est.)"
"2014-06-24","432","3","148","55,740 bbl/day (2010 est.)"
"2014-06-24","433","3","149","752 million cu m (2011 est.)"
"2014-06-24","434","3","150","733 million cu m (2010 est.)"
"2014-06-24","435","3","151","0 cu m (2011 est.)"
"2014-06-24","436","3","152","0 cu m (2011 est.)"
"2014-06-24","437","3","153","366 billion cu m (1 January 2013 est.)"
"2014-06-24","443","3","95","19.1% of GDP (2013 est.)<br />23.8% of GDP (2012 est.)<br />24% of GDP (2011 est.)"
"2014-06-24","445","4","91","$16.65 billion (2013 est.)<br />$15.86 billion (2012 est.)<br />$15.04 billion (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","446","4","33","2.81% (2014 est.)"
"2014-06-24","447","4","93","5% (2013 est.)<br />5.4% (2012 est.)<br />3.5% (2011 est.)"
"2014-06-24","448","4","94","$1,600 (2013 est.)<br />$1,600 (2012 est.)<br />$1,500 (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","465","4","179","1.03% of GDP (2012)<br />NA% (2011)<br />1.03% of GDP (2010)"
"2014-06-24","472","4","163","6 (2013)"
"2014-06-24","473","4","34","36.51 births/1,000 population (2014 est.)"
"2014-06-24","482","4","35","8.39 deaths/1,000 population (2014 est.)"
"2014-06-24","487","4","120","$1.108 billion (2013 est.)<br />$1.071 billion (2012 est.)"
"2014-06-24","488","4","127","$1.236 billion (31 December 2013 est.)<br />$1.123 billion (31 December 2012 est.)"
"2014-06-24","491","4","169","<i>total: </i>16,000 km<br /><i>paved: </i>1,400 km<br /><i>unpaved: </i>14,600 km (2006)"
"2014-06-24","493","4","123","$1.835 billion (2013 est.)<br />$1.755 billion (2012 est.)"
"2014-06-24","495","4","100","3.7% (2013 est.)"
"2014-06-24","497","4","41","<i>total: </i>57.09 deaths/1,000 live births<br /><i>male: </i>60.26 deaths/1,000 live births<br /><i>female: </i>53.76 deaths/1,000 live births (2014 est.)"
"2014-06-24","498","4","112","2.4% (2013 est.)<br />6.8% (2012 est.)"
"2014-06-24","499","4","170","150 km (seasonal navigation on River Niger along northern border) (2011)"
"2014-06-24","501","4","101","3.662 million (2007 est.)"
"2014-06-24","507","4","42","<i>total population: </i>61.07 years<br /><i>male: </i>59.75 years<br /><i>female: </i>62.47 years (2014 est.)"
"2014-06-24","515","4","36","0 migrant(s)/1,000 population (2014 est.)"
"2014-06-24","520","4","29","10,160,556<br /><i><b>note:</b> </i>estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.)"
"2014-06-24","522","4","168","<i>total: </i>438 km<br /><i>narrow gauge: </i>438 km 1.000-m gauge (2008)"
"2014-06-24","527","4","44","5.04 children born/woman (2014 est.)"
"2014-06-24","529","4","103","NA%"
"2014-06-24","534","4","7","<i>total: </i>112,622 sq km<br /><i>land: </i>110,622 sq km<br /><i>water: </i>2,000 sq km"
"2014-06-24","536","4","155","156,700 (2012)"
"2014-06-24","537","4","156","8.408 million (2012)"
"2014-06-24","538","4","161","200,100 (2009)"
"2014-06-24","539","4","159",".bj"
"2014-06-24","540","4","50","1.1% (2012 est.)"
"2014-06-24","541","4","51","71,500 (2012 est.)"
"2014-06-24","542","4","52","3,100 (2012 est.)"
"2014-06-24","543","4","106","36.5 (2003)"
"2014-06-24","545","4","160","491 (2012)"
"2014-06-24","546","4","110","29.7% of GDP (2013 est.)<br />31.9% of GDP (2012 est.)"
"2014-06-24","547","4","119","-$699.3 million (2013 est.)<br />-$684.9 million (2012 est.)"
"2014-06-24","548","4","126","$720.3 million (31 December 2013 est.)<br />$712.8 million (31 December 2012 est.)"
"2014-06-24","551","4","118","$NA"
"2014-06-24","555","4","56","5.3% of GDP (2010)"
"2014-06-24","556","4","113","4.25% (31 December 2010 est.)<br />4.25% (31 December 2009 est.)"
"2014-06-24","557","4","114","NA%"
"2014-06-24","558","4","117","$1.511 billion (31 December 2013 est.)<br />$1.529 billion (31 December 2012 est.)"
"2014-06-24","561","4","115","$1.889 billion (31 December 2013 est.)<br />$1.755 billion (31 December 2012 est.)"
"2014-06-24","562","4","116","$3.06 billion (31 December 2013 est.)<br />$2.943 billion (31 December 2012 est.)"
"2014-06-24","568","4","108","20.5% of GDP (2013 est.)"
"2014-06-24","569","4","109","-1.3% of GDP (2013 est.)"
"2014-06-24","570","4","40","350 deaths/100,000 live births (2010)"
"2014-06-24","571","4","55","20.2% (2006)"
"2014-06-24","572","4","45","4.6% of GDP (2011)"
"2014-06-24","575","4","54","6% (2008)"
"2014-06-24","576","4","60","<i>total: </i>0.8%<br /><i>male: </i>1.1%<br /><i>female: </i>0.6% (2002)"
"2014-06-24","578","4","132","142.1 million kWh (2010 est.)"
"2014-06-24","579","4","133","870.1 million kWh (2010 est.)"
"2014-06-24","580","4","134","0 kWh (2012 est.)"
"2014-06-24","581","4","135","935 million kWh (2010 est.)"
"2014-06-24","582","4","136","61,000 kW (2010 est.)"
"2014-06-24","583","4","137","98.4% of total installed capacity (2010 est.)"
"2014-06-24","584","4","139","1.6% of total installed capacity (2010 est.)"
"2014-06-24","585","4","138","0% of total installed capacity (2010 est.)"
"2014-06-24","586","4","140","0% of total installed capacity (2010 est.)"
"2014-06-24","587","4","141","0 bbl/day (2012 est.)"
"2014-06-24","588","4","142","0 bbl/day (2010 est.)"
"2014-06-24","589","4","143","0 bbl/day (2010 est.)"
"2014-06-24","590","4","144","8 million bbl (1 January 2013 est.)"
"2014-06-24","591","4","145","0 bbl/day (2010 est.)"
"2014-06-24","592","4","146","29,170 bbl/day (2011 est.)"
"2014-06-24","593","4","147","0 bbl/day (2010 est.)"
"2014-06-24","594","4","148","34,840 bbl/day (2010 est.)"
"2014-06-24","595","4","149","0 cu m (2011 est.)"
"2014-06-24","596","4","150","0 cu m (2010 est.)"
"2014-06-24","597","4","151","0 cu m (2011 est.)"
"2014-06-24","598","4","152","0 cu m (2011 est.)"
"2014-06-24","599","4","153","1.133 billion cu m (1 January 2013 est.)"
"2014-06-24","605","4","95","9.9% of GDP (2013 est.)<br />9% of GDP (2012 est.)<br />7.9% of GDP (2011 est.)"
"2014-06-24","607","5","91","$34 billion (2013 est.)<br />$32.71 billion (2012 est.)<br />$31.4 billion (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","608","5","33","1.26% (2014 est.)"
"2014-06-24","609","5","93","3.9% (2013 est.)<br />4.2% (2012 est.)<br />6.1% (2011 est.)"
"2014-06-24","610","5","94","$16,400 (2013 est.)<br />$15,900 (2012 est.)<br />$15,500 (2011 est.)<br /><i><b>note:</b> </i>data are in 2013 US dollars"
"2014-06-24","627","5","179","2.31% of GDP (2012)<br />2.43% of GDP (2011)<br />2.31% of GDP (2010)"
"2014-06-24","634","5","163","74 (2013)"
"2014-06-24","635","5","34","21.34 births/1,000 population (2014 est.)"
"2014-06-24","643","5","35","13.32 deaths/1,000 population (2014 est.)"
"2014-06-24","648","5","120","$7.569 billion (2013 est.)<br />$6.011 billion (2012 est.)"
"2014-06-24","649","5","127","$2.416 billion (31 December 2013 est.)<br />$2.443 billion (31 December 2012 est.)"
"2014-06-24","652","5","169","<i>total: </i>17,916 km<br /><i><b>note:</b> </i>includes 8,916 km of Public Highway Network roads (6,116 km paved and 2,800 km unpaved) and other 9,000 km of District Council roads (2011)"
"2014-06-24","653","5","123","$7.389 billion (2013 est.)<br />$7.918 billion (2012 est.)"
"2014-06-24","655","5","100","7.2% (2013 est.)"
"2014-06-24","657","5","41","<i>total: </i>9.38 deaths/1,000 live births<br /><i>male: </i>9.77 deaths/1,000 live births<br /><i>female: </i>8.99 deaths/1,000 live births (2014 est.)"
